Geocodigo;Cidade;Latitude;Longitude
1504752;Mojuí dos Campos;-2,684137664;-54,64141585
1504802;Monte Alegre;-1,989175223;-54,07789229
1504901;Muaná;-1,529645157;-49,21860261
1504950;Nova Esperança do Piriá;-2,267996566;-46,97031099
1504976;Nova Ipixuna;-4,915096141;-49,08051721
1505007;Nova Timboteua;-1,204420394;-47,39151177
1505031;Novo Progresso;-7,032893731;-55,41453711
1505064;Novo Repartimento;-4,244513112;-49,95205481
1505106;Óbidos;-1,909235496;-55,51632351
1505205;Oeiras do Pará;-2,004956017;-49,85675276
1505304;Oriximiná;-1,7637535;-55,86279952
1505403;Ourém;-1,546200916;-47,11550515
1505437;Ourilândia do Norte;-6,743811877;-51,0790895
1505486;Pacajá;-3,829007653;-50,6286018
1505494;Palestina do Pará;-5,741204995;-48,31942739
1505502;Paragominas;-2,991787602;-47,35905095
1505536;Parauapebas;-6,071360372;-49,89445962
1505551;Pau D'Arco;-7,833567497;-50,04097712
1505601;Peixe-Boi;-1,192267604;-47,32044073
1505635;Piçarra;-6,44273048;-48,8622615
1505650;Placas;-3,867315562;-54,21696813
1505700;Ponta de Pedras;-1,390422946;-48,86843158
1505809;Portel;-1,932244862;-50,82399724
1505908;Porto de Moz;-1,750224751;-52,23665747
1506005;Prainha;-1,796914608;-53,47835714
1506104;Primavera;-0,941420931;-47,11864789
1506112;Quatipuru;-0,894811634;-47,0050384
1506138;Redenção;-8,026968771;-50,03409159
1506161;Rio Maria;-7,307834349;-50,04551775
1506187;Rondon do Pará;-4,777766859;-48,07736588
1506195;Rurópolis;-4,101576415;-54,91023392
1506203;Salinópolis;-0,623921275;-47,34859999
1506302;Salvaterra;-0,754525974;-48,5131866
1506351;Santa Bárbara do Pará;-1,227246143;-48,29700954
1506401;Santa Cruz do Arari;-0,659974126;-49,17161557
1506500;Santa Izabel do Pará;-1,297395901;-48,16305994
1506559;Santa Luzia do Pará;-1,521849901;-46,90119687
1506583;Santa Maria das Barreiras;-8,872163772;-49,71662902
1506609;Santa Maria do Pará;-1,348586013;-47,57393284
1506708;Santana do Araguaia;-9,336317588;-50,34039726
1506807;Santarém;-2,444987283;-54,73132944
1506906;Santarém Novo;-0,928949331;-47,39556567
